,name,tradingsymbol_nan,instrument_token_nan,LTP_nan,tradingsymbol_MAY,instrument_token_MAY,LTP_MAY,TOP BID_MAY,TOP ASK_MAY,tradingsymbol_JUN,instrument_token_JUN,LTP_JUN,TOP BID_JUN,TOP ASK_JUN,tradingsymbol_JUL,instrument_token_JUL,LTP_JUL,TOP BID_JUL,TOP ASK_JUL,TOP BID_nan,TOP ASK_nan
159,TATATECH,TATATECH,5195009,692.0,TATATECH25MAYFUT,14729474,684.9,0.0,0.0,TATATECH25JUNFUT,14655746,660.0,0.0,0.0,TATATECH25JULFUT,13684482,657.35,0.0,0.0,0.0,0.0
160,TCS,TCS,2953217,3434.0,TCS25MAYFUT,14729730,3429.9,0.0,0.0,TCS25JUNFUT,14656002,3436.6,0.0,0.0,TCS25JULFUT,13685762,3451.0,0.0,0.0,0.0,0.0
161,TECHM,TECHM,3465729,1460.0,TECHM25MAYFUT,14729986,1462.2,0.0,0.0,TECHM25JUNFUT,14656258,1471.9,0.0,0.0,TECHM25JULFUT,13686018,1487.4,0.0,0.0,0.0,0.0
162,TIINDIA,TIINDIA,79873,2570.0,TIINDIA25MAYFUT,14730242,2581.0,0.0,0.0,TIINDIA25JUNFUT,14656514,2595.2,0.0,0.0,TIINDIA25JULFUT,13686786,2645.2,0.0,0.0,0.0,0.0
163,TITAN,TITAN,897537,3357.0,TITAN25MAYFUT,14731778,3367.0,0.0,0.0,TITAN25JUNFUT,14657026,3385.0,0.0,0.0,TITAN25JULFUT,13687298,3404.9,0.0,0.0,0.0,0.0
164,TORNTPHARM,TORNTPHARM,900609,3240.0,TORNTPHARM25MAYFUT,14732034,3244.3,0.0,0.0,TORNTPHARM25JUNFUT,14657282,3255.0,0.0,0.0,TORNTPHARM25JULFUT,13687554,3256.1,0.0,0.0,0.0,0.0
165,TORNTPOWER,TORNTPOWER,3529217,1538.3,TORNTPOWER25MAYFUT,14733314,1545.0,0.0,0.0,TORNTPOWER25JUNFUT,14657538,1550.3,0.0,0.0,TORNTPOWER25JULFUT,13687810,0.0,0.0,0.0,0.0,0.0
166,TRENT,TRENT,502785,5124.0,TRENT25MAYFUT,14733570,5140.0,0.0,0.0,TRENT25JUNFUT,14657794,5169.0,0.0,0.0,TRENT25JULFUT,13688066,5204.0,0.0,0.0,0.0,0.0
167,TVSMOTOR,TVSMOTOR,2170625,2735.7,TVSMOTOR25MAYFUT,14733826,2740.0,0.0,0.0,TVSMOTOR25JUNFUT,14658050,2754.9,0.0,0.0,TVSMOTOR25JULFUT,13688322,0.0,0.0,0.0,0.0,0.0
168,ULTRACEMCO,ULTRACEMCO,2952193,12190.0,ULTRACEMCO25MAYFUT,14734082,12240.0,0.0,0.0,ULTRACEMCO25JUNFUT,14658818,12300.0,0.0,0.0,ULTRACEMCO25JULFUT,13688578,12280.0,0.0,0.0,0.0,0.0
