symbol,listing_date,entry_num,status,entry_date,entry_price,stop_price,exit_date,exit_price,return_pct,days_to_entry,days_held,last_date,last_price
FEDFINA,2023-11-30,1.0,stop_hit,2023-11-30,140.25,126.23,2024-02-12,126.23,-10.0,0.0,74.0,,
FLAIR,2023-12-01,1.0,stop_hit,2023-12-01,450.9,405.81,2023-12-05,405.81,-10.0,0.0,4.0,,
DOMS,2023-12-20,1.0,survived_positive,2023-12-20,1326.05,,2024-12-20,2781.0,109.72,0.0,366.0,,
INDIASHLTR,2023-12-20,1.0,survived_positive,2023-12-20,544.7,,2024-12-20,702.25,28.92,0.0,366.0,,
INOXINDIA,2023-12-21,1.0,stop_hit,2023-12-21,939.95,845.96,2024-01-18,845.96,-10.0,0.0,28.0,,
MUTHOOTMF,2023-12-26,1.0,stop_hit,2024-01-30,254.3,228.87,2024-02-29,228.87,-10.0,35.0,30.0,,
SURAJEST,2023-12-26,1.0,stop_hit,2024-01-03,356.25,320.62,2024-02-13,320.62,-10.0,8.0,41.0,,
MOTISONS,2023-12-26,1.0,survived_positive,2023-12-29,9.81,,2024-12-26,26.92,174.27,3.0,363.0,,
HAPPYFORGE,2023-12-27,1.0,stop_hit,2023-12-27,1030.8,927.72,2024-01-24,927.72,-10.0,0.0,28.0,,
MUFTI,2023-12-27,1.0,stop_hit,2023-12-27,312.2,280.98,2024-01-02,280.98,-10.0,0.0,6.0,,
RBZJEWEL,2023-12-27,1.0,survived_positive,2023-12-28,110.25,,2024-12-27,201.87,83.1,1.0,365.0,,
AZAD,2023-12-28,1.0,survived_positive,2024-01-29,711.95,,2024-12-30,1659.15,133.04,32.0,336.0,,
INNOVACAP,2023-12-29,1.0,stop_hit,2023-12-29,541.4,487.26,2024-03-13,487.26,-10.0,0.0,75.0,,
JYOTICNC,2024-01-16,1.0,survived_positive,2024-01-16,434.2,,2025-01-16,1228.55,182.95,0.0,366.0,,
MEDIASSIST,2024-01-23,1.0,survived_positive,2024-01-23,464.1,,2025-01-23,576.55,24.23,0.0,366.0,,
EPACK,2024-01-30,1.0,stop_hit,2024-02-16,198.45,178.6,2024-03-06,178.6,-10.0,17.0,19.0,,
NOVAAGRI,2024-01-31,1.0,stop_hit,2024-02-01,60.6,54.54,2024-03-12,54.54,-10.0,1.0,40.0,,
BLSE,2024-02-06,1.0,stop_hit,2024-02-06,366.0,329.4,2024-02-08,329.4,-10.0,0.0,2.0,,
PARKHOTELS,2024-02-12,1.0,stop_hit,2024-02-12,203.55,183.2,2024-03-11,183.2,-10.0,0.0,28.0,,
CAPITALSFB,2024-02-14,1.0,stop_hit,2024-02-15,455.5,409.95,2024-02-27,409.95,-10.0,1.0,12.0,,
JSFB,2024-02-14,1.0,survived_positive,2024-02-14,368.15,,2025-02-14,397.45,7.96,0.0,366.0,,
RPTECH,2024-02-14,1.0,stop_hit,2024-02-16,345.85,311.27,2024-03-12,311.27,-10.0,2.0,25.0,,
ENTERO,2024-02-16,1.0,stop_hit,2024-02-16,1149.55,1034.6,2024-02-28,1034.6,-10.0,0.0,12.0,,
VSTL,2024-02-20,1.0,stop_hit,2024-02-27,354.25,318.82,2024-03-01,318.82,-10.0,7.0,3.0,,
JUNIPER,2024-02-28,1.0,stop_hit,2024-02-29,438.2,394.38,2024-06-04,394.38,-10.0,1.0,96.0,,
GPTHEALTH,2024-02-29,1.0,stop_hit,2024-02-29,200.7,180.63,2024-03-04,180.63,-10.0,0.0,4.0,,
PLATIND,2024-03-05,1.0,stop_hit,2024-03-07,204.55,184.1,2024-03-13,184.1,-10.0,2.0,6.0,,
EXICOM,2024-03-05,1.0,stop_hit,2024-03-05,224.95,202.45,2024-03-12,202.45,-10.0,0.0,7.0,,
MUKKA,2024-03-07,1.0,stop_hit,2024-03-07,42.25,38.02,2024-03-13,38.02,-10.0,0.0,6.0,,
RKSWAMY,2024-03-12,1.0,stop_hit,2024-03-12,262.6,236.34,2024-03-13,236.34,-10.0,0.0,1.0,,
JGCHEM,2024-03-13,1.0,survived_positive,2024-03-13,184.8,,2025-03-13,309.9,67.69,0.0,365.0,,
GOPAL,2024-03-14,1.0,stop_hit,2024-03-14,362.7,326.43,2024-04-09,326.43,-10.0,0.0,26.0,,
PVSL,2024-03-19,1.0,stop_hit,2024-03-19,276.15,248.53,2024-03-28,248.53,-10.0,0.0,9.0,,
KRYSTAL,2024-03-21,1.0,stop_hit,2024-03-21,712.85,641.56,2024-06-04,641.56,-10.0,0.0,75.0,,
SRM,2024-04-03,1.0,stop_hit,2024-04-04,237.3,213.57,2024-04-09,213.57,-10.0,1.0,5.0,,
BHARTIHEXA,2024-04-12,1.0,survived_positive,2024-04-12,813.3,,2025-04-15,1510.1,85.68,0.0,368.0,,
IDEA,2024-04-25,1.0,stop_hit,2024-04-25,13.9,12.51,2024-05-07,12.51,-10.0,0.0,12.0,,
JNKINDIA,2024-04-30,1.0,stop_hit,2024-04-30,694.55,625.09,2024-05-06,625.09,-10.0,0.0,6.0,,
